"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_type","architecture","batch_size","conv_dropout_p","device","early_stopping_delta","early_stopping_delta_type","early_stopping_patience","epochs","accuracy","test_loss","validation_loss","training_loss","include_second_fc_layer","fc_dropout_p","kernel_sizes","learning_rate","num_reduce_learning_rate","optimizer","out_channels","use_batch_norm","dimensions","input_size","output_size","best_epoch","best_validation_loss","epoch","step_learning_rate","step_training_loss","step_validation_loss","weighted_f1","weighted_precision","weighted_recall"
"peach-sweep-41","finished","-","shane-kercheval","","2024-01-07T03:41:18.000Z","357","vy3v7jae","leaky_relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.9934285714285714","0.020955230508531843","0.0276687000702867","0.00033281901996191926","false","0","[5,5]","0.001","5","adam","[32,64]","true","","","","20","0.02725720704755908","26","0.00003125","0.0014814385320842747","0.027562767534150875","0.9934284010187424","0.993441452856638","0.9934285714285714"
"misunderstood-sweep-31","finished","-","shane-kercheval","","2024-01-07T01:07:22.000Z","2291","vy3v7jae","leaky_relu","CNN","32","0.2","cuda","0.05","relative","3","100","0.9928571428571428","0.022498387045093944","0.02755896015212472","0.006880969441212074","true","0","[5,5]","0.01","5","sgd","[32,64]","true","","","","22","0.02770473824334996","28","0.0003125","0.009202502412492698","0.027450472733837415","0.992860361389676","0.992881835177791","0.9928571428571428"
"proud-sweep-9","finished","-","shane-kercheval","","2024-01-06T21:32:02.000Z","569","vy3v7jae","relu","CNN","32","0.2","cuda","0.05","relative","3","100","0.9915714285714284","0.028558002518756048","0.031633046992723915","0.001118152431029882","false","0.5","[3,5]","0.001","5","adam","[16,32]","true","","","","16","0.02878065956638186","28","0.00003125","0.005159799400706985","0.03143307842901673","0.9915762708129968","0.9915950565002004","0.9915714285714284"
"balmy-sweep-33","finished","-","shane-kercheval","","2024-01-07T02:01:27.000Z","343","vy3v7jae","leaky_relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.9938571428571428","0.028702642635575364","0.032707750393850085","0.00007133495429712257","false","0","[5,5]","0.01","5","adam","[32,64]","true","","","","11","0.027821202089020516","26","0.0003125","0.000550762039732286","0.03277272694221626","0.9938570855594994","0.9938669149187384","0.9938571428571428"
"generous-sweep-48","finished","-","shane-kercheval","","2024-01-07T04:45:17.000Z","916","vy3v7jae","leaky_relu","CNN","32","0.2","cuda","0.05","relative","3","100","0.9942857142857144","0.028787525237670968","0.0390509820142455","0.00037722388950999327","true","0","[7,7]","0.01","5","adam","[16,32]","true","","","","13","0.03451946693796197","22","0.0003125","0.00351597503379767","0.038946723207910434","0.9942851495127788","0.99429064864634","0.9942857142857144"
"cosmic-sweep-30","finished","-","shane-kercheval","","2024-01-07T00:57:15.000Z","603","vy3v7jae","leaky_relu","CNN","32","0","cuda","0.05","relative","3","100","0.99","0.029237014640654837","0.03610006470499294","0.002346120015368797","false","0.5","[3,7]","0.01","5","sgd","[32,64]","true","","","","9","0.03571790544535699","27","0.0003125","0.0022278657412118327","0.03596800811131418","0.9900040688761168","0.9900414592170091","0.99"
"astral-sweep-42","finished","-","shane-kercheval","","2024-01-07T03:47:20.000Z","259","vy3v7jae","leaky_relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.9924285714285714","0.030318493555699075","0.03255466573587286","0.00006451161907417762","false","0.5","[5,5]","0.005","5","adam","[16,64]","true","","","","9","0.02753806405195168","27","0.00015625","0.0004375845599367624","0.032476746670569163","0.9924296358851304","0.9924393944379558","0.9924285714285714"
"zany-sweep-38","finished","-","shane-kercheval","","2024-01-07T03:07:03.000Z","228","vy3v7jae","relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.9937142857142856","0.03156242200306484","0.04002247080072162","0.00020356449712510637","false","0","[3,5]","0.005","5","adam","[16,32]","true","","","","6","0.03257342558141266","24","0.00015625","0.0013065895894084991","0.0400776197659517","0.9937123110950968","0.993723517550548","0.9937142857142856"
"helpful-sweep-27","finished","-","shane-kercheval","","2024-01-07T00:32:58.000Z","1014","vy3v7jae","leaky_relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.9901428571428572","0.03193571312086923","0.033154881441699605","0.016521366900897453","true","0.5","[3,5]","0.01","5","sgd","[16,64]","true","","","","24","0.03418856691462653","39","0.0003125","0.022444685555196235","0.03308632579020091","0.9901424505678494","0.990170587233182","0.9901428571428572"
"stellar-sweep-49","finished","-","shane-kercheval","","2024-01-07T05:00:40.000Z","525","vy3v7jae","relu","CNN","32","0.1","cuda","0.05","relative","3","100","0.994","0.03271183371543884","0.039346931741608145","0.00004469862577621215","false","0.5","[3,5]","0.01","5","adam","[32,64]","true","","","","7","0.033583388630058573","22","0.0003125","0.0004965234516321451","0.03899423415547757","0.9940019095667054","0.9940098546045938","0.994"
"lively-sweep-24","finished","-","shane-kercheval","","2024-01-07T00:12:33.000Z","343","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.9938571428571428","0.0329524925244706","0.04488168548401214","0.00013579069069878763","true","0.5","[5,5]","0.005","5","adam","[16,32]","true","","","","7","0.03242348979360291","25","0.00015625","0.002472480798457712","0.04477902783818334","0.9938582552033988","0.9938801958734144","0.9938571428571428"
"wobbly-sweep-50","finished","-","shane-kercheval","","2024-01-07T05:09:26.000Z","810","vy3v7jae","leaky_relu","CNN","32","0","cuda","0.05","relative","3","100","0.9897142857142858","0.032990554347634315","0.03358133936147871","0.00984783118681766","true","0","[3,3]","0.01","5","sgd","[8,16]","true","","","","14","0.03427017370518297","29","0.0003125","0.011715269237074296","0.03362883213092573","0.98970714645142","0.9897269563650808","0.9897142857142858"
"restful-sweep-6","finished","-","shane-kercheval","","2024-01-06T20:24:32.000Z","462","vy3v7jae","relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.9895714285714284","0.03303408330040319","0.03569938771639551","0.01587715481900211","false","0.5","[7,7]","0.005","5","sgd","[32,64]","true","","","","31","0.03566365598355021","37","0.00015625","0.020767225281752903","0.035695249741630894","0.989570108493758","0.9895947252332716","0.9895714285714284"
"hardy-sweep-23","finished","-","shane-kercheval","","2024-01-07T00:06:45.000Z","343","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.9931428571428572","0.03316491868879114","0.03437780374897661","0.00003142455112146081","true","0.5","[3,7]","0.001","5","adam","[16,32]","true","","","","6","0.030855913883873393","24","0.00003125","0.0003620658514823357","0.034365810546346305","0.9931448409546207","0.993159020528956","0.9931428571428572"
"cool-sweep-32","finished","-","shane-kercheval","","2024-01-07T01:45:35.000Z","943","vy3v7jae","relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.9905714285714284","0.03375854502831187","0.034839089177814975","0.016537937210157647","true","0.5","[7,7]","0.01","5","sgd","[16,32]","false","","","","31","0.03580477585430656","43","0.0003125","0.028065985060650212","0.034843130830143176","0.9905675057447368","0.9905819145861486","0.9905714285714284"
